Date,Open,High,Low,Close,Adj Close,Volume
1997-03-10,114.507736,114.507736,104.429710,106.563217,55.036983,33794545
1997-03-17,106.956230,107.658043,101.089081,103.587532,53.500126,28164836
1997-03-24,103.587532,104.710434,101.847038,103.138374,53.268143,10978446
1997-03-31,95.923737,95.923737,84.385941,91.993591,47.512165,11530498
1997-04-07,91.235634,95.278069,88.288017,91.544426,47.280197,14935164
1997-04-14,92.667328,95.362289,92.133949,95.081566,49.107010,6026537
1997-04-21,97.411583,105.496460,96.850128,102.071617,52.717182,34904616
1997-04-28,102.071617,106.114059,100.808357,101.875107,52.615700,23934986
1997-05-05,100.218834,101.903183,95.334213,99.460876,51.368816,32440729
1997-05-12,99.320511,100.218834,96.120247,99.208221,51.238327,25321039
1997-05-19,100.359192,102.380417,97.271217,97.664230,50.440899,34503068
1997-05-26,94.604332,97.580017,93.256851,96.765915,49.976936,26063046
1997-06-02,97.271217,99.881958,96.709770,97.046638,50.121918,27181847
1997-06-09,96.513260,104.682358,94.913132,102.436562,52.905678,39518740
1997-06-16,102.464630,112.121574,100.611847,109.005524,56.298351,58289066
1997-06-23,109.510826,110.044205,102.464630,102.913788,53.152142,35544390
1997-06-30,102.183907,126.242043,102.183907,123.771660,63.924671,98261101
1997-07-07,122.564545,126.017464,115.855217,120.290672,62.126823,90025105
1997-07-14,119.308136,120.711761,113.160255,117.146553,60.502983,38706826
1997-07-21,113.412910,122.564545,111.728554,119.280060,61.604877,64702014
1997-07-28,119.869583,124.361183,116.893898,122.620689,63.330219,59026532
1997-08-04,122.901413,129.133514,119.588860,120.038017,61.996334,48776645
1997-08-11,119.588860,122.283821,115.013039,115.462196,59.633057,28384891
1997-08-18,114.676170,116.641243,107.966843,108.247566,55.906898,36876208
1997-08-25,106.956230,110.240715,100.387268,101.201370,52.267723,34683939
1997-09-01,102.043541,105.271881,100.920647,103.868256,53.645111,23390592
1997-09-08,103.306808,106.984306,101.903183,102.324272,52.847687,22298954
1997-09-15,102.464630,104.261269,99.095932,99.236298,51.252834,15602008
1997-09-22,98.253754,101.482094,95.530724,97.243149,50.223415,12404841
1997-09-29,97.973030,99.320511,95.025421,96.176392,49.672470,9151213
1997-10-06,96.176392,99.853889,95.811447,99.236298,51.252834,8066878
1997-10-13,100.218834,106.535141,97.832672,104.513924,53.978577,33209453
1997-10-20,103.980545,104.710434,94.211319,95.053490,49.092518,21639768
1997-10-27,94.492043,95.446503,84.301720,90.281166,46.627747,16519010
1997-11-03,90.898758,92.470818,88.428383,91.235634,47.120701,13873450
1997-11-10,90.674179,91.235634,85.958000,86.603668,44.728416,9254162
1997-11-17,84.357864,86.968613,77.227455,77.395889,39.972851,13951907
1997-11-24,77.227455,77.227455,68.861847,73.016579,37.711060,17700414
1997-12-01,72.258621,73.185013,68.777626,69.563660,35.927719,10773886
1997-12-08,69.198715,70.518127,65.408928,68.749557,35.507263,16996791
1997-12-15,68.496902,74.055260,68.496902,72.118256,37.247093,15849405
1997-12-22,72.427055,74.813217,71.612953,74.251770,38.349003,8559352
1997-12-29,74.616707,79.697830,74.420204,79.220596,40.915268,17000352
1998-01-05,79.950485,80.792664,72.820068,73.381516,37.899540,16974706
1998-01-12,72.174400,72.427055,68.300400,71.163795,36.754150,20296996
1998-01-19,70.826920,74.279839,70.237396,70.433907,36.377178,15159048
1998-01-26,70.433907,71.023430,67.991600,70.883064,36.609154,10213194
1998-02-02,71.219940,71.809456,69.507515,69.844383,36.072716,7772282
1998-02-09,69.704025,69.704025,66.868698,68.693413,35.478268,8147116
1998-02-16,68.693413,69.900528,67.682800,67.851234,35.043297,5451151
1998-02-23,67.907379,75.150085,67.879311,74.335983,38.392498,14502267
1998-03-02,74.953583,77.957336,72.651634,75.515030,39.001442,17541362
1998-03-09,76.497566,81.662910,75.234306,76.216843,39.363907,16360314
1998-03-16,76.862511,84.722809,76.806366,83.992928,43.380047,33763910
1998-03-23,84.778954,87.586205,83.515694,85.621132,44.220966,22531833
1998-03-30,86.042221,88.147652,81.999779,87.810783,45.351856,24898917
1998-04-06,88.147652,94.267464,88.147652,91.460213,47.236698,28208118
1998-04-13,90.449600,93.032272,88.765251,91.628647,47.323681,13862496
1998-04-20,91.965515,98.815208,83.992928,85.733421,44.278957,17339652
1998-04-27,85.901855,87.530060,81.634834,85.284264,44.046986,13597111
1998-05-04,85.901855,90.028511,85.396553,87.670425,45.279373,18992605
1998-05-11,87.866928,88.372238,82.027847,84.638596,43.713516,20218361
1998-05-18,85.480766,87.838860,84.273651,84.919319,43.858505,18168578
1998-05-25,84.329796,84.807030,76.694077,84.666664,43.728016,33937834
1998-06-01,86.210655,91.347923,82.533157,83.403404,43.075569,47366456
1998-06-08,84.161362,85.340408,73.606102,78.266136,40.422318,26269744
1998-06-15,77.536247,77.536247,68.047745,70.068962,36.188698,14652681
1998-06-22,68.833771,72.595490,64.566757,69.591728,35.942219,12903550
1998-06-29,69.114502,71.528732,67.233643,67.682800,34.956306,6094751
1998-07-06,67.935455,73.830681,67.682800,73.185013,37.798054,12090121
1998-07-13,73.971039,74.532494,70.490051,72.398979,37.392094,10715733
1998-07-20,71.865601,72.370911,58.418877,58.475021,30.200743,15585267
1998-07-27,58.952251,60.636604,55.864277,57.408264,29.649799,13439929
1998-08-03,56.706451,58.952251,53.899204,56.425728,29.142334,12040785
1998-08-10,55.751987,56.425728,52.214851,53.113174,27.431494,9823845
1998-08-17,53.618477,55.723915,51.120026,53.478115,27.619978,11051204
1998-08-24,52.776302,54.123783,50.811230,51.148098,26.416592,6289962
1998-08-31,51.597260,51.625332,47.639034,49.463749,25.546671,7382399
1998-09-07,49.884834,54.994030,49.884834,51.456894,26.576071,10683850
1998-09-14,52.158707,54.629089,51.962200,54.264145,28.025944,11982097
1998-09-21,54.713306,55.527409,53.421970,54.741379,28.272415,8841122
1998-09-28,55.302830,55.302830,51.372677,51.849911,26.779055,3703267
1998-10-05,51.091953,51.091953,46.993366,47.863613,24.720247,6775311
1998-10-12,48.284702,48.621574,42.473694,43.091290,22.255472,7850117
1998-10-19,43.568523,43.680813,38.487400,40.536694,20.936094,7014246
1998-10-26,41.322723,47.414455,41.322723,46.038902,23.777828,20612250
1998-11-02,46.319630,49.126877,45.196728,48.818081,25.213202,16557393
1998-11-09,49.351460,53.113174,48.621574,51.709549,26.706558,22582417
1998-11-16,50.867374,55.780060,50.305923,52.270996,26.996531,39585354
1998-11-23,52.018345,52.888592,46.993366,47.835545,24.705746,23551425
1998-11-30,47.526745,52.776302,46.993366,52.776302,27.257513,23855994
1998-12-07,52.944736,58.110077,52.635941,57.941643,29.925272,38099559
1998-12-14,57.717064,58.110077,53.506187,54.685234,28.243423,32682336
1998-12-21,58.671528,63.584217,54.685234,63.331566,32.709019,27771125
1998-12-28,64.286026,70.181252,63.500000,69.619804,35.956715,41000886
1999-01-04,69.282936,73.269226,67.149422,73.269226,37.841549,40404751
1999-01-11,74.672852,76.862511,67.654732,68.019669,35.130291,32564783
1999-01-18,67.935455,68.216179,59.682140,62.377098,32.216049,25459343
1999-01-25,61.927940,66.784485,60.159370,64.847481,33.491947,21567366
1999-02-01,63.724579,68.328468,62.096375,66.251106,34.216877,30582951
1999-02-08,66.756409,67.767021,61.366489,65.801941,33.984894,25173475
1999-02-15,66.812553,72.904289,66.251106,70.714630,36.522175,34098490
1999-02-22,70.181252,72.792000,65.801941,68.805702,35.536255,30963305
1999-03-01,67.654732,69.058357,65.128204,66.223030,34.202381,18399408
1999-03-08,66.531830,67.823166,60.973473,64.005302,33.056984,21515091
1999-03-15,64.005302,64.987839,61.141911,61.647213,31.839094,14049779
1999-03-22,61.141911,62.601681,55.583553,56.116932,28.982855,12181135
1999-03-29,55.022102,58.727673,52.270996,56.706451,29.287327,7344744
1999-04-05,53.421970,55.471264,51.063881,51.232315,26.460087,7536725
1999-04-12,50.530502,55.274757,48.284702,48.481209,25.039215,7453672
1999-04-19,48.846153,50.502430,45.842396,46.207336,23.864824,5788345
1999-04-26,44.354553,49.660255,41.912247,49.660255,25.648155,9164326
1999-05-03,49.969051,58.110077,49.211094,55.583553,28.707378,23378937
1999-05-10,56.762596,67.935455,56.229221,67.093277,34.651833,45753704
1999-05-17,67.907379,72.427055,63.584217,63.584217,34.114815,58582332
1999-05-24,61.759502,65.830017,54.348362,56.987179,30.575321,40815591
1999-05-31,59.176834,67.317856,57.997787,67.317856,36.118031,37359558
1999-06-07,68.103889,73.269226,65.437004,67.402077,36.163216,40054437
1999-06-14,65.801941,82.561226,62.349026,81.747124,43.859776,62791899
