Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,111.728554,112.290009,87.052826,93.734085,48.411079,55273473
1996-02-01,92.948051,125.203362,92.948051,108.359856,55.964886,109510179
1996-03-01,109.735413,113.244469,96.007957,110.774094,57.211784,69772002
1996-04-01,111.728554,145.134827,110.689873,135.084885,69.767632,175262779
1996-05-01,139.295761,140.306366,120.739830,136.039337,70.260582,244585691
1996-06-01,138.088638,150.131744,136.151627,136.628860,70.565056,400492880
1996-07-01,136.179703,136.235855,99.938103,108.303711,55.935890,339925784
1996-08-01,112.851456,113.412910,101.201370,109.875771,56.747826,208417467
1996-09-01,110.100349,112.851456,93.818298,96.372902,49.773968,178604751
1996-10-01,96.850128,110.044205,88.709106,101.341728,52.340225,248435276
1996-11-01,102.155830,104.991158,84.498230,86.463303,44.655918,187438484
1996-12-01,85.901855,95.446503,81.971703,93.986732,48.541569,112340175
1997-01-01,96.569405,122.255745,96.569405,103.306808,53.355141,313046544
1997-02-01,99.881958,115.265694,98.281830,113.974358,58.864635,164803436
1997-03-01,116.781609,123.519005,92.835762,92.948051,48.005131,141578661
1997-04-01,84.778954,106.114059,84.385941,104.120911,53.775593,86643584
1997-05-01,104.120911,104.120911,93.256851,96.765915,49.976936,122929805
1997-06-01,97.271217,112.121574,94.913132,104.738503,54.094559,165685792
1997-07-01,108.079132,126.242043,107.854553,123.912025,63.997169,336542579
1997-08-01,123.406715,129.133514,100.387268,101.201370,52.267723,157748933
1997-09-01,102.043541,106.984306,95.530724,96.990494,50.092934,78637706
1997-10-01,97.523872,106.535141,84.301720,90.281166,46.627747,83645011
1997-11-01,90.898758,92.470818,68.861847,73.016579,37.711060,54779933
1997-12-01,72.258621,77.255524,65.408928,76.188766,39.349411,60704412
1998-01-01,75.851898,80.792664,67.991600,70.883064,36.609154,71119318
1998-02-01,71.219940,75.150085,66.868698,74.335983,38.392498,35872816
1998-03-01,74.953583,87.586205,72.651634,82.701591,42.713097,99058580
1998-04-01,83.880638,98.815208,81.634834,85.284264,44.046986,89045133
1998-05-01,85.284264,90.028511,76.694077,84.666664,43.728016,91317378
1998-06-01,86.210655,91.347923,64.566757,70.321617,36.319191,104710819
1998-07-01,71.304153,74.532494,55.864277,57.408264,29.649799,54407413
1998-08-01,56.706451,58.952251,50.137489,50.586647,26.126614,40300283
1998-09-01,50.277851,55.527409,47.639034,51.849911,26.779055,41498248
1998-10-01,51.849911,51.849911,38.487400,46.038902,23.777828,42251924
1998-11-01,46.319630,55.780060,45.196728,48.284702,24.937727,105045223
1998-12-01,48.032051,70.181252,47.947834,65.970383,34.071892,150395208
1999-01-01,66.279175,76.862511,59.682140,64.847481,33.491947,130242301
1999-02-01,63.724579,72.904289,61.366489,68.805702,35.536255,120818221
